round,year,home,away,home_elo_2009,away_elo_2009,home_injuries_top5,home_injuries_top10,away_injuries_top5,away_injuries_top10,home_odds_open,home_odds_win_prob_close,home_season,standing_away,standing_home,thurs_fri,sat,sun,evening,margin,home_win,home_injuries_95th_to_90th,away_injuries_95th_to_90th,expected_margin
23,2013,Western Bulldogs,Melbourne,1439.105345,1279.616678,0,0,0,0,1.14,0.918509232,Western Bulldogs_2013,17,15,0,0,1,0,20,1,0,0,49.5
23,2013,Collingwood,North Melbourne,1688.878737,1522.528932,0,0,0,0,1.55,0.613296813,Collingwood_2013,10,6,0,0,1,0,-11,0,0,0,9.5
23,2013,Gold Coast,GWS Giants,1318.211818,1307.801028,0,0,0,0,1.14,0.911149491,Gold Coast_2013,18,14,0,0,1,0,83,1,0,0,48.5
23,2013,West Coast,Adelaide,1508.593413,1513.905076,0,0,0,0,1.91,0.511780105,West Coast_2013,11,13,0,1,0,1,-86,0,0,0,NA
23,2013,Essendon,Richmond,1483.651018,1458.70181,0,0,0,0,3.22,0.341734495,Essendon_2013,5,9,0,1,0,1,-39,0,0,0,-18.5
23,2013,Port Adelaide,Carlton,1362.195785,1557.831789,0,0,0,0,1.75,0.475085235,Port Adelaide_2013,8,7,0,1,0,0,-1,0,0,0,4.5
23,2013,Geelong,Brisbane Lions,1746.668078,1412.514297,0,0,0,0,1.05,0.937728938,Geelong_2013,12,2,0,1,0,0,1,1,0,0,57.5
23,2013,St Kilda,Fremantle,1559.093139,1529.983903,0,0,0,2,5.8,0.598266479,St Kilda_2013,3,16,0,1,0,0,71,1,0,2,-3.5
23,2013,Sydney,Hawthorn,1627.102026,1683.617127,0,0,0,0,2.53,0.286490683,Sydney_2013,1,4,1,0,0,1,-12,0,0,0,-18.5
22,2013,Brisbane Lions,Western Bulldogs,1410.479001,1441.140642,0,0,0,0,1.58,0.632466577,Brisbane Lions_2013,15,10,0,0,1,0,7,1,0,0,11.5
22,2013,GWS Giants,Richmond,1313.671414,1452.831424,0,0,0,0,21,0.039563107,GWS Giants_2013,5,18,0,0,1,0,-121,0,0,0,-62.5
22,2013,St Kilda,Gold Coast,1555.49035,1321.814607,0,0,0,0,1.81,0.568475452,St Kilda_2013,14,16,0,0,1,0,46,1,0,0,5.5
22,2013,Carlton,Essendon,1559.921944,1481.560863,0,0,0,0,1.48,0.650620413,Carlton_2013,7,9,0,1,0,1,-6,0,0,0,17.5
22,2013,Fremantle,Port Adelaide,1525.171115,1367.008573,0,0,0,0,1.2,0.858095492,Fremantle_2013,8,3,0,1,0,0,74,1,0,0,35.5
22,2013,Geelong,Sydney,1742.260756,1631.509348,0,0,0,0,1.51,0.677603506,Geelong_2013,4,2,0,1,0,0,44,1,0,0,14.5
22,2013,North Melbourne,Hawthorn,1524.999743,1681.146317,0,0,0,0,3.39,0.238347685,North Melbourne_2013,1,11,0,1,0,0,-14,0,0,0,-21.5
22,2013,Adelaide,Melbourne,1509.973107,1283.548646,0,0,0,0,1.03,0.960436893,Adelaide_2013,17,12,0,1,0,0,68,1,0,0,60.5
22,2013,Collingwood,West Coast,1684.466499,1513.005651,0,0,0,0,1.14,0.858446731,Collingwood_2013,13,6,1,0,0,1,62,1,0,0,33.5
21,2013,Western Bulldogs,Adelaide,1437.413563,1513.700187,0,0,0,0,2.11,0.454315251,Western Bulldogs_2013,13,15,0,0,1,0,17,1,0,0,-4.5
21,2013,Sydney,St Kilda,1625.928029,1561.071669,0,0,0,0,1.03,0.956865465,Sydney_2013,16,3,0,0,1,0,59,1,0,0,59.5
21,2013,Melbourne,Fremantle,1287.619229,1521.100532,0,0,0,0,17.5,0.039563107,Melbourne_2013,4,17,0,0,1,0,-95,0,0,0,-65.5
21,2013,Brisbane Lions,GWS Giants,1405.137957,1319.012458,0,0,0,0,1.04,0.930881787,Brisbane Lions_2013,18,12,0,1,0,1,60,1,0,0,61.5
21,2013,West Coast,Geelong,1516.992159,1738.274248,0,0,0,0,2.66,0.323522582,West Coast_2013,2,11,0,1,0,0,-66,0,0,0,-15.5
21,2013,Essendon,North Melbourne,1486.916571,1519.644035,0,0,0,0,2.8,0.3660986,Essendon_2013,10,7,0,1,0,0,-45,0,0,0,-16.5
